id,gender,age,number_of_kids,date,day,duration
979863,MALE,26,2,1.0,3.0,8.066666666666666
979863,MALE,26,2,2.0,4.0,10.620833333333334
979863,MALE,26,2,3.0,5.0,8.829166666666667
979863,MALE,26,2,4.0,6.0,8.116666666666667
979863,MALE,26,2,6.0,1.0,9.875
979863,MALE,26,2,7.0,2.0,6.366666666666666
979863,MALE,26,2,8.0,3.0,7.754166666666666
979863,MALE,26,2,9.0,4.0,6.633333333333334
979863,MALE,26,2,10.0,5.0,6.704166666666667
979863,MALE,26,2,12.0,0.0,9.058333333333334
979863,MALE,26,2,13.0,1.0,6.8125
979863,MALE,26,2,14.0,2.0,6.2625
979863,MALE,26,2,15.0,3.0,7.033333333333333
979863,MALE,26,2,16.0,4.0,5.808333333333334
979863,MALE,26,2,17.0,5.0,6.55
979863,MALE,26,2,18.0,6.0,9.783333333333333
979863,MALE,26,2,19.0,0.0,6.479166666666667
979863,MALE,26,2,20.0,1.0,7.070833333333334
979863,MALE,26,2,21.0,2.0,6.745833333333334
780123,MALE,60,2,1.0,3.0,3.7083333333333335
780123,MALE,60,2,2.0,4.0,1.7458333333333333
780123,MALE,60,2,5.0,0.0,2.158333333333333
780123,MALE,60,2,6.0,1.0,1.4916666666666667
780123,MALE,60,2,8.0,3.0,2.4583333333333335
780123,MALE,60,2,9.0,4.0,1.9666666666666666
780123,MALE,60,2,12.0,0.0,1.4333333333333333
780123,MALE,60,2,13.0,1.0,0.75
780123,MALE,60,2,15.0,3.0,2.725
780123,MALE,60,2,19.0,0.0,1.1666666666666667
780123,MALE,60,2,20.0,1.0,2.5375
614848,MALE,45,4,1.0,3.0,1.9958333333333333
614848,MALE,45,4,2.0,4.0,1.9583333333333333
614848,MALE,45,4,3.0,5.0,7.825
614848,MALE,45,4,5.0,0.0,0.7958333333333333
614848,MALE,45,4,6.0,1.0,2.5458333333333334
614848,MALE,45,4,7.0,2.0,2.4833333333333334
614848,MALE,45,4,8.0,3.0,0.17916666666666667
614848,MALE,45,4,9.0,4.0,1.9083333333333334
614848,MALE,45,4,10.0,5.0,6.2875
614848,MALE,45,4,12.0,0.0,1.375
614848,MALE,45,4,13.0,1.0,1.0083333333333333
614848,MALE,45,4,14.0,2.0,2.4625
614848,MALE,45,4,15.0,3.0,2.216666666666667
614848,MALE,45,4,16.0,4.0,4.120833333333334
614848,MALE,45,4,17.0,5.0,5.595833333333333
614848,MALE,45,4,20.0,1.0,3.525
614848,MALE,45,4,21.0,2.0,0.7583333333333333
775046,MALE,62,3,1.0,3.0,3.254166666666667
775046,MALE,62,3,2.0,4.0,3.3875
775046,MALE,62,3,3.0,5.0,4.408333333333333
775046,MALE,62,3,4.0,6.0,3.5375
775046,MALE,62,3,6.0,1.0,5.004166666666666
775046,MALE,62,3,7.0,2.0,4.525
775046,MALE,62,3,8.0,3.0,4.358333333333333
775046,MALE,62,3,10.0,5.0,5.841666666666667
775046,MALE,62,3,11.0,6.0,4.191666666666666
775046,MALE,62,3,12.0,0.0,6.2625
775046,MALE,62,3,13.0,1.0,6.683333333333334
775046,MALE,62,3,14.0,2.0,3.3
775046,MALE,62,3,15.0,3.0,7.654166666666667
775046,MALE,62,3,16.0,4.0,7.233333333333333
775046,MALE,62,3,17.0,5.0,7.208333333333333
775046,MALE,62,3,18.0,6.0,7.4875
775046,MALE,62,3,19.0,0.0,4.020833333333333
775046,MALE,62,3,20.0,1.0,7.279166666666667
775046,MALE,62,3,21.0,2.0,6.0125
991601,MALE,23,0,1.0,3.0,3.6
991601,MALE,23,0,2.0,4.0,4.433333333333334
991601,MALE,23,0,5.0,0.0,3.375
991601,MALE,23,0,6.0,1.0,0.37083333333333335
991601,MALE,23,0,8.0,3.0,1.4833333333333334
991601,MALE,23,0,9.0,4.0,0.375
991601,MALE,23,0,12.0,0.0,1.9583333333333333
991601,MALE,23,0,13.0,1.0,4.745833333333334
991601,MALE,23,0,14.0,2.0,1.7333333333333334
991601,MALE,23,0,15.0,3.0,0.9666666666666667
991601,MALE,23,0,16.0,4.0,0.7583333333333333
991601,MALE,23,0,19.0,0.0,2.379166666666667
991601,MALE,23,0,20.0,1.0,4.270833333333333
991601,MALE,23,0,21.0,2.0,4.1875
670477,MALE,36,1,1.0,3.0,5.816666666666666
670477,MALE,36,1,2.0,4.0,6.525
670477,MALE,36,1,6.0,1.0,5.170833333333333
670477,MALE,36,1,8.0,3.0,5.9875
670477,MALE,36,1,9.0,4.0,5.241666666666666
670477,MALE,36,1,12.0,0.0,5.745833333333334
670477,MALE,36,1,13.0,1.0,9.279166666666667
670477,MALE,36,1,15.0,3.0,5.3625
670477,MALE,36,1,16.0,4.0,8.854166666666666
670477,MALE,36,1,19.0,0.0,9.058333333333334
670477,MALE,36,1,20.0,1.0,8.233333333333333
194053,MALE,35,0,1.0,3.0,2.225
194053,MALE,35,0,2.0,4.0,4.1625
194053,MALE,35,0,3.0,5.0,5.154166666666667
194053,MALE,35,0,4.0,6.0,7.775
194053,MALE,35,0,5.0,0.0,3.3916666666666666
194053,MALE,35,0,6.0,1.0,3.933333333333333
194053,MALE,35,0,7.0,2.0,3.495833333333333
194053,MALE,35,0,8.0,3.0,3.091666666666667
194053,MALE,35,0,9.0,4.0,0.8333333333333334
194053,MALE,35,0,10.0,5.0,5.816666666666666
194053,MALE,35,0,11.0,6.0,5.391666666666667
194053,MALE,35,0,12.0,0.0,2.120833333333333
194053,MALE,35,0,13.0,1.0,1.5666666666666667
194053,MALE,35,0,14.0,2.0,2.65
194053,MALE,35,0,15.0,3.0,1.7208333333333334
194053,MALE,35,0,17.0,5.0,6.425
194053,MALE,35,0,18.0,6.0,5.008333333333334
194053,MALE,35,0,19.0,0.0,3.125
194053,MALE,35,0,20.0,1.0,1.6291666666666667
194053,MALE,35,0,21.0,2.0,0.25416666666666665
364596,FEMALE,36,4,1.0,3.0,1.7041666666666666
364596,FEMALE,36,4,2.0,4.0,2.620833333333333
364596,FEMALE,36,4,3.0,5.0,1.2291666666666667
364596,FEMALE,36,4,4.0,6.0,1.2458333333333333
364596,FEMALE,36,4,5.0,0.0,2.6
364596,FEMALE,36,4,6.0,1.0,1.5666666666666667
364596,FEMALE,36,4,7.0,2.0,3.6416666666666666
364596,FEMALE,36,4,8.0,3.0,1.75
364596,FEMALE,36,4,9.0,4.0,2.2583333333333333
364596,FEMALE,36,4,10.0,5.0,4.604166666666667
364596,FEMALE,36,4,12.0,0.0,3.6083333333333334
364596,FEMALE,36,4,13.0,1.0,2.1
364596,FEMALE,36,4,14.0,2.0,1.1416666666666666
364596,FEMALE,36,4,15.0,3.0,4.941666666666666
364596,FEMALE,36,4,16.0,4.0,1.9625
364596,FEMALE,36,4,17.0,5.0,3.7625
364596,FEMALE,36,4,18.0,6.0,1.9833333333333334
364596,FEMALE,36,4,20.0,1.0,3.8625
364596,FEMALE,36,4,21.0,2.0,0.6625
640428,MALE,28,0,1.0,3.0,1.9041666666666666
640428,MALE,28,0,2.0,4.0,0.7708333333333334
640428,MALE,28,0,5.0,0.0,1.3041666666666667
640428,MALE,28,0,6.0,1.0,4.091666666666667
640428,MALE,28,0,7.0,2.0,1.0458333333333334
640428,MALE,28,0,8.0,3.0,2.279166666666667
640428,MALE,28,0,9.0,4.0,0.925
640428,MALE,28,0,12.0,0.0,1.5375
640428,MALE,28,0,13.0,1.0,4.2125
640428,MALE,28,0,15.0,3.0,1.6375
640428,MALE,28,0,16.0,4.0,1.3041666666666667
640428,MALE,28,0,19.0,0.0,2.25
640428,MALE,28,0,20.0,1.0,3.5541666666666667
640428,MALE,28,0,21.0,2.0,2.9875
154517,MALE,25,2,2.0,4.0,9.25
154517,MALE,25,2,3.0,5.0,6.654166666666667
154517,MALE,25,2,4.0,6.0,8.45
154517,MALE,25,2,5.0,0.0,8.120833333333334
154517,MALE,25,2,6.0,1.0,10.529166666666667
154517,MALE,25,2,7.0,2.0,9.454166666666667
154517,MALE,25,2,8.0,3.0,6.695833333333334
154517,MALE,25,2,9.0,4.0,6.65
154517,MALE,25,2,10.0,5.0,7.595833333333333
154517,MALE,25,2,11.0,6.0,6.5625
154517,MALE,25,2,12.0,0.0,6.366666666666666
154517,MALE,25,2,13.0,1.0,7.4375
154517,MALE,25,2,14.0,2.0,9.5625
154517,MALE,25,2,15.0,3.0,10.616666666666667
154517,MALE,25,2,16.0,4.0,7.55
154517,MALE,25,2,17.0,5.0,9.241666666666667
154517,MALE,25,2,19.0,0.0,9.708333333333334
154517,MALE,25,2,20.0,1.0,7.391666666666667
154517,MALE,25,2,21.0,2.0,7.770833333333333
526114,MALE,24,4,1.0,3.0,10.6625
526114,MALE,24,4,2.0,4.0,6.625
526114,MALE,24,4,3.0,5.0,7.825
526114,MALE,24,4,4.0,6.0,9.0375
526114,MALE,24,4,5.0,0.0,7.075
